INFO - asvspoof19 - Running command 'main'
INFO - asvspoof19 - Started run with ID "24"
squeeze-and-excitation network
===> Model total parameter: 1344276
Epoch: [1][0/844]	Time 6.460 (6.460)	Data 2.600 (2.600)	LR 0.000004	Loss 0.8044 (0.8044)	Acc@1 1.953 (1.953)
Test: [17300/134730]	Time 0.016 (0.023)	Loss 1.9049 (0.3999)	Acc@1 0.000 (86.562)
Test: [17400/134730]	Time 0.018 (0.023)	Loss 0.1891 (0.4001)	Acc@1 100.000 (86.554)
Test: [17500/134730]	Time 0.031 (0.023)	Loss 1.8781 (0.4006)	Acc@1 0.000 (86.521)
Test: [17600/134730]	Time 0.015 (0.023)	Loss 0.1653 (0.4005)	Acc@1 100.000 (86.529)
Test: [17700/134730]	Time 0.015 (0.023)	Loss 0.1482 (0.3999)	Acc@1 100.000 (86.564)
Test: [17800/134730]	Time 0.052 (0.023)	Loss 0.1659 (0.3996)	Acc@1 100.000 (86.583)
Test: [17900/134730]	Time 0.015 (0.023)	Loss 0.2117 (0.3993)	Acc@1 100.000 (86.596)
Test: [18000/134730]	Time 0.041 (0.023)	Loss 0.1447 (0.3989)	Acc@1 100.000 (86.621)
Test: [18100/134730]	Time 0.029 (0.023)	Loss 0.1932 (0.3993)	Acc@1 100.000 (86.599)
Test: [18200/134730]	Time 0.033 (0.023)	Loss 1.8443 (0.3997)	Acc@1 0.000 (86.575)
Test: [18300/134730]	Time 0.016 (0.023)	Loss 0.1534 (0.3999)	Acc@1 100.000 (86.569)
Test: [18400/134730]	Time 0.016 (0.023)	Loss 0.1720 (0.3998)	Acc@1 100.000 (86.572)
Test: [18500/134730]	Time 0.018 (0.023)	Loss 0.1651 (0.4005)	Acc@1 100.000 (86.525)
Test: [18600/134730]	Time 0.026 (0.023)	Loss 0.2109 (0.4003)	Acc@1 100.000 (86.542)
Test: [18700/134730]	Time 0.024 (0.023)	Loss 0.1982 (0.4003)	Acc@1 100.000 (86.538)
Test: [18800/134730]	Time 0.030 (0.023)	Loss 1.6855 (0.3999)	Acc@1 0.000 (86.561)
Test: [18900/134730]	Time 0.050 (0.023)	Loss 0.1819 (0.3995)	Acc@1 100.000 (86.584)
Test: [19000/134730]	Time 0.019 (0.023)	Loss 0.1761 (0.3993)	Acc@1 100.000 (86.600)
Test: [19100/134730]	Time 0.017 (0.023)	Loss 0.1888 (0.3985)	Acc@1 100.000 (86.647)
Test: [19200/134730]	Time 0.043 (0.023)	Loss 0.1619 (0.3984)	Acc@1 100.000 (86.656)
Test: [19300/134730]	Time 0.015 (0.023)	Loss 0.1824 (0.3985)	Acc@1 100.000 (86.650)
Test: [19400/134730]	Time 0.020 (0.023)	Loss 1.8792 (0.3987)	Acc@1 0.000 (86.636)
Test: [19500/134730]	Time 0.015 (0.023)	Loss 0.2003 (0.3988)	Acc@1 100.000 (86.630)
Test: [19600/134730]	Time 0.016 (0.023)	Loss 0.1814 (0.3988)	Acc@1 100.000 (86.628)
Test: [19700/134730]	Time 0.018 (0.023)	Loss 0.1834 (0.3985)	Acc@1 100.000 (86.650)
Test: [19800/134730]	Time 0.016 (0.023)	Loss 0.1765 (0.3989)	Acc@1 100.000 (86.625)
Test: [19900/134730]	Time 0.021 (0.023)	Loss 0.1621 (0.3993)	Acc@1 100.000 (86.598)
Test: [20000/134730]	Time 0.028 (0.023)	Loss 0.1939 (0.3991)	Acc@1 100.000 (86.610)
Test: [20100/134730]	Time 0.024 (0.023)	Loss 0.2124 (0.3986)	Acc@1 100.000 (86.642)
Test: [20200/134730]	Time 0.016 (0.023)	Loss 0.1849 (0.3991)	Acc@1 100.000 (86.609)
Test: [20300/134730]	Time 0.060 (0.023)	Loss 0.1620 (0.3992)	Acc@1 100.000 (86.606)
Test: [20400/134730]	Time 0.018 (0.023)	Loss 0.2009 (0.3992)	Acc@1 100.000 (86.604)
Test: [20500/134730]	Time 0.068 (0.023)	Loss 0.1623 (0.3994)	Acc@1 100.000 (86.595)
Test: [20600/134730]	Time 0.015 (0.023)	Loss 1.8234 (0.3998)	Acc@1 0.000 (86.570)
Test: [20700/134730]	Time 0.015 (0.023)	Loss 0.1781 (0.3995)	Acc@1 100.000 (86.588)
Test: [20800/134730]	Time 0.015 (0.023)	Loss 0.1648 (0.3995)	Acc@1 100.000 (86.588)
Test: [20900/134730]	Time 0.018 (0.023)	Loss 0.1867 (0.3985)	Acc@1 100.000 (86.646)
Test: [21000/134730]	Time 0.019 (0.023)	Loss 0.1702 (0.3987)	Acc@1 100.000 (86.634)
Test: [21100/134730]	Time 0.031 (0.023)	Loss 0.1822 (0.3987)	Acc@1 100.000 (86.637)
Test: [21200/134730]	Time 0.015 (0.023)	Loss 0.1804 (0.3982)	Acc@1 100.000 (86.665)
Test: [21300/134730]	Time 0.017 (0.023)	Loss 0.2077 (0.3986)	Acc@1 100.000 (86.643)
Test: [21400/134730]	Time 0.016 (0.023)	Loss 0.1903 (0.3978)	Acc@1 100.000 (86.688)
Test: [21500/134730]	Time 0.016 (0.023)	Loss 0.2071 (0.3980)	Acc@1 100.000 (86.675)
